LABEL,SubClass Of
Thermal Engineering,Energy Engineering
Thermal Technology,Thermal Engineering
Thermodynamics,Physics
Thermomechanical Processing,Metallurgy|Process Engineering
Toxicogenomics,Genomics|Toxicology
Toxicology,Medicines Research and Development|Pharmacology|Safety Science
Traditional Medicine,Medicine
Transcriptomics,Genomics|Molecular Genetics
Transfusion Medicine,Hematology
Translational Medicine,Medicine
Transportation Planning,Construction Engineering
Traumatology,Medicine
Tropical Medicine,Medicine
Urban Planning,Construction Engineering
Urology,Medicine
Vascular Surgery,Surgery
Veterinary Medicine,Agriculture|Medicine
Virology,Microbiology
Water Management,Water Research
Water Research,Earth Science
Zoology,Biology
